Date, Close,,,,,,
07/11/1977,23/06/1902,,,,,,
07/21/77,09/07/1902,,,,,,
08/01/1977,09/06/1902,,,,,,
08/10/1977,05/06/1902,,,,,,
08/19/77,12/05/1902,,,,,,
08/30/77,07/05/1902,,,,,,
09/09/1977,06/05/1902,,,,,,
09/20/77,30/04/1902,,,,,,
09/29/77,19/04/1902,,,,,,
10/10/1977,19/04/1902,,,,,,
10/19/77,22/03/1902,,,,,,
10/28/77,01/04/1902,,,,,,
11/08/1977,26/03/1902,,,,,,
11/17/77,10/04/1902,,,,,,
11/29/77,06/04/1902,,,,,,
12/08/1977,16/03/1902,,,,,,
12/19/77,17/03/1902,,,,,,
12/29/77,09/04/1902,,,,,,
01/10/1978,19/02/1902,,,,,,
01/19/78,16/02/1902,,,,,,
01/30/78,10/02/1902,,,,,,
02/08/1978,20/02/1902,,,,,,
02/17/78,21/01/1902,,,,,,
03/01/1978,12/01/1902,,,,,,
03/10/1978,27/01/1902,,,,,,
03/21/78,31/01/1902,,,,,,
03/31/78,26/01/1902,,,,,,
04/11/1978,08/02/1902,,,,,,
04/20/78,24/03/1902,,,,,,
05/01/1978,23/04/1902,,,,,,
05/10/1978,01/04/1902,,,,,,
05/19/78,25/04/1902,,,,,,
05/31/78,19/04/1902,,,,,,
06/09/1978,08/05/1902,,,,,,
06/20/78,09/04/1902,,,,,,
06/29/78,31/03/1902,,,,,,
07/11/1978,31/03/1902,,,,,,
07/20/78,17/04/1902,,,,,,
07/31/78,11/05/1902,,,,,,
08/09/1978,09/06/1902,,,,,,
08/18/78,14/06/1902,,,,,,
08/29/78,29/05/1902,,,,,,
09/08/1978,25/06/1902,,,,,,
09/19/78,10/05/1902,,,,,,
09/28/78,10/05/1902,,,,,,
10/09/1978,29/05/1902,,,,,,
10/18/78,08/05/1902,,,,,,
10/27/78,16/03/1902,,,,,,
11/07/1978,10/03/1902,,,,,,
11/16/78,04/03/1902,,,,,,
11/28/78,14/03/1902,,,,,,
12/07/1978,26/03/1902,,,,,,
12/18/78,25/02/1902,,,,,,
12/28/78,15/03/1902,,,,,,
01/09/1979,10/04/1902,,,,,,
01/18/79,18/04/1902,,,,,,
01/29/79,04/05/1902,,,,,,
02/07/1979,26/03/1902,,,,,,
02/16/79,06/04/1902,,,,,,
02/28/79,18/03/1902,,,,,,
03/09/1979,21/04/1902,,,,,,
03/20/79,29/04/1902,,,,,,
03/29/79,15/05/1902,,,,,,
04/09/1979,22/05/1902,,,,,,
04/19/79,04/05/1902,,,,,,
04/30/79,03/05/1902,,,,,,
05/09/1979,17/04/1902,,,,,,
05/18/79,20/04/1902,,,,,,
05/30/79,01/04/1902,,,,,,
06/08/1979,15/04/1902,,,,,,
06/19/79,18/04/1902,,,,,,
06/28/79,22/04/1902,,,,,,
07/10/1979,29/04/1902,,,,,,
07/19/79,06/04/1902,,,,,,
07/30/79,17/04/1902,,,,,,
08/08/1979,12/05/1902,,,,,,
08/17/79,01/06/1902,,,,,,
08/28/79,02/06/1902,,,,,,
09/07/1979,23/05/1902,,,,,,
09/18/79,23/05/1902,,,,,,
09/27/79,05/06/1902,,,,,,
10/08/1979,02/06/1902,,,,,,
10/17/79,09/04/1902,,,,,,
10/26/79,19/03/1902,,,,,,
11/06/1979,16/03/1902,,,,,,
11/15/79,31/03/1902,,,,,,
11/28/79,09/04/1902,,,,,,
12/07/1979,12/04/1902,,,,,,
12/18/79,17/04/1902,,,,,,
12/28/79,17/04/1902,,,,,,
01/09/1980,29/04/1902,,,,,,
01/18/80,16/05/1902,,,,,,
01/29/80,23/05/1902,,,,,,
02/07/1980,03/06/1902,,,,,,
02/19/80,25/05/1902,,,,,,
02/28/80,03/05/1902,,,,,,
03/10/1980,28/03/1902,,,,,,
03/19/80,10/03/1902,,,,,,
03/28/80,15/02/1902,,,,,,
04/09/1980,23/02/1902,,,,,,
04/18/80,01/02/1902,,,,,,
04/29/80,21/03/1902,,,,,,
05/08/1980,25/03/1902,,,,,,
05/19/80,09/04/1902,,,,,,
05/29/80,25/04/1902,,,,,,
06/09/1980,09/05/1902,,,,,,
06/18/80,30/05/1902,,,,,,
06/27/80,30/05/1902,,,,,,
07/09/1980,15/06/1902,,,,,,
07/18/80,11/07/1902,,,,,,
07/29/80,19/07/1902,,,,,,
08/07/1980,07/08/1902,,,,,,
08/18/80,05/08/1902,,,,,,
08/27/80,31/07/1902,,,,,,
09/08/1980,16/07/1902,,,,,,
09/17/80,18/08/1902,,,,,,
09/26/80,28/07/1902,,,,,,
10/07/1980,17/08/1902,,,,,,
10/16/80,15/08/1902,,,,,,
10/27/80,19/07/1902,,,,,,
11/06/1980,23/07/1902,,,,,,
11/17/80,12/09/1902,,,,,,
11/26/80,15/09/1902,,,,,,
12/08/1980,21/07/1902,,,,,,
12/17/80,11/07/1902,,,,,,
12/29/80,17/08/1902,,,,,,
01/08/1981,22/08/1902,,,,,,
01/19/81,27/08/1902,,,,,,
01/28/81,30/07/1902,,,,,,
02/06/1981,09/08/1902,,,,,,
02/18/81,04/08/1902,,,,,,
02/27/81,31/08/1902,,,,,,
03/10/1981,29/08/1902,,,,,,
03/19/81,12/09/1902,,,,,,
03/30/81,18/09/1902,,,,,,
04/08/1981,19/09/1902,,,,,,
04/20/81,11/10/1902,,,,,,
04/29/81,30/09/1902,,,,,,
05/08/1981,02/09/1902,,,,,,
05/19/81,06/09/1902,,,,,,
05/29/81,20/09/1902,,,,,,
06/09/1981,20/09/1902,,,,,,
06/18/81,21/09/1902,,,,,,
06/29/81,10/09/1902,,,,,,
07/09/1981,15/08/1902,,,,,,
07/20/81,28/07/1902,,,,,,
07/29/81,25/07/1902,,,,,,
08/07/1981,30/07/1902,,,,,,
08/18/81,12/07/1902,,,,,,
08/27/81,07/06/1902,,,,,,
09/08/1981,30/04/1902,,,,,,
09/17/81,19/04/1902,,,,,,
09/28/81,21/04/1902,,,,,,
10/07/1981,17/05/1902,,,,,,
10/16/81,30/04/1902,,,,,,
10/27/81,17/04/1902,,,,,,
11/05/1981,08/05/1902,,,,,,
11/16/81,24/04/1902,,,,,,
11/25/81,27/05/1902,,,,,,
12/07/1981,04/06/1902,,,,,,
12/16/81,17/05/1902,,,,,,
12/28/81,19/05/1902,,,,,,
01/07/1982,10/05/1902,,,,,,
01/18/82,04/05/1902,,,,,,
01/27/82,21/04/1902,,,,,,
02/05/1982,30/04/1902,,,,,,
02/17/82,06/04/1902,,,,,,
02/26/82,03/04/1902,,,,,,
03/09/1982,13/03/1902,,,,,,
03/18/82,15/03/1902,,,,,,
03/29/82,02/04/1902,,,,,,
04/07/1982,15/04/1902,,,,,,
04/19/82,25/04/1902,,,,,,
04/28/82,01/05/1902,,,,,,
05/07/1982,18/05/1902,,,,,,
05/18/82,19/04/1902,,,,,,
05/27/82,03/04/1902,,,,,,
06/08/1982,12/03/1902,,,,,,
06/17/82,01/03/1902,,,,,,
06/28/82,21/03/1902,,,,,,
07/08/1982,14/03/1902,,,,,,
07/19/82,05/04/1902,,,,,,
07/28/82,21/03/1902,,,,,,
